datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Zalatoris, Will","Will Zalatoris",150,15458783,10900,33.244,N/A,0,80.4,8,0,88.4,1,100,4.16666666666667,
"Conners, Corey","Corey Conners",150,15458784,10600,33.013,N/A,0,74.5,6.1,0,80.6,0.65,100,4.16666666666667,
"Hughes, Mackenzie","Mackenzie Hughes",150,15458785,10300,32.797,N/A,0,71.7,5.2,0,76.9,0.51,100,4.16666666666667,
"Burns, Sam","Sam Burns",150,15458786,10100,33.126,N/A,0,75.4,6.3,0,81.7,0.8,100,4.16666666666667,
"Long, Adam","Adam Long",150,15458787,9900,32.296,N/A,0,67.7,4.3,0,72,0.33,100,4.16666666666667,
"Grillo, Emiliano","Emiliano Grillo",150,15458788,9800,32.488,N/A,0,68.3,4.6,0,72.9,0.4,100,4.16666666666667,
"Howell III, Charles","Charles Howell III",150,15458789,9700,32.504,N/A,0,70.2,4.9,0,75.1,0.54,100,4.16666666666667,
"McCarthy, Denny","Denny McCarthy",150,15458790,9600,31.981,N/A,0,67.2,4.3,0,71.5,0.37,100,4.16666666666667,
"Stenson, Henrik","Henrik Stenson",150,15458791,9500,31.057,N/A,0,62.2,3.1,0,65.4,0.06,100,4.16666666666667,
"Detry, Thomas","Thomas Detry",150,15458792,9400,32.061,N/A,0,70.2,4.7,0,75,0.59,100,4.16666666666667,
"Straka, Sepp","Sepp Straka",150,15458793,9300,32.951,N/A,0,68.4,4.2,0,72.6,0.48,100,4.16666666666667,
"Ventura, Kristoffer","Kristoffer Ventura",150,15458794,9200,32.192,N/A,0,67.2,4.1,0,71.4,0.44,100,4.16666666666667,
"Perez, Pat","Pat Perez",150,15458795,9100,30.913,N/A,0,64.8,3.5,0,68.4,0.3,100,4.16666666666667,
"Grace, Branden","Branden Grace",150,15458796,9000,31.267,N/A,0,65.9,3.9,0,69.8,0.39,100,4.16666666666667,
"Hoffman, Charley","Charley Hoffman",150,15458797,8900,31.493,N/A,0,64.5,3.5,0,68,0.32,100,4.16666666666667,
"Schwab, Matthias","Matthias Schwab",150,15458798,8800,32.288,N/A,0,68.2,4.3,0,72.5,0.57,100,4.16666666666667,
"List, Luke","Luke List",150,15458799,8700,32.611,N/A,0,72.3,5.3,0,77.6,0.86,100,4.16666666666667,
"Norlander, Henrik","Henrik Norlander",150,15458800,8600,30.932,N/A,0,62.4,3.2,0,65.5,0.24,100,4.16666666666667,
"Schenk, Adam","Adam Schenk",150,15458801,8500,32.172,N/A,0,69.9,4.8,0,74.7,0.75,100,4.16666666666667,
"Zhang, Xinjun","Xinjun Zhang",150,15458802,8400,31.196,N/A,0,64.1,3.5,0,67.6,0.39,100,4.16666666666667,
"Stuard, Brian","Brian Stuard",150,15458803,8300,29.970,N/A,0,58.3,2.4,0,60.7,0.05,100,4.16666666666667,
"Kim, Joohyung","Joohyung Kim",122,15458804,8200,29.820,N/A,0,56.8,2.1,0,58.8,-0.02,100,4.16666666666667,
"Stanley, Kyle","Kyle Stanley",150,15458805,8100,31.250,N/A,0,63.1,3.3,0,66.4,0.39,100,4.16666666666667,
"Rodgers, Patrick","Patrick Rodgers",150,15458806,8000,32.494,N/A,0,69.4,4.6,0,74,0.81,100,4.16666666666667,
"Garnett, Brice","Brice Garnett",150,15458807,7900,30.655,N/A,0,62.1,3,0,65.1,0.36,100,4.16666666666667,
"Jones, Matt","Matt Jones",150,15458808,7900,31.713,N/A,0,65.2,3.6,0,68.8,0.56,100,4.16666666666667,
"McDowell, Graeme","Graeme McDowell",150,15458810,7800,29.831,N/A,0,54.8,1.9,0,56.7,-0.04,100,4.16666666666667,
"Hoag, Bo","Bo Hoag",150,15458809,7800,30.069,N/A,0,58.6,2.4,0,61,0.16,100,4.16666666666667,
"Vegas, Jhonattan","Jhonattan Vegas",150,15458811,7700,32.918,N/A,0,69.9,4.7,0,74.6,0.9,100,4.16666666666667,
"Hahn, James","James Hahn",150,15458812,7700,30.475,N/A,0,61.1,2.9,0,63.9,0.34,100,4.16666666666667,
"Gordon, Will","Will Gordon",150,15458815,7600,31.400,N/A,0,65.7,3.6,0,69.3,0.64,100,4.16666666666667,
"Oppenheim, Rob","Rob Oppenheim",150,15458813,7600,29.439,N/A,0,55.4,1.9,0,57.3,0.01,100,4.16666666666667,
